name,whitelist,count
SRR19752930_1,arc,0
SRR19752930_1,v1,0
SRR19752930_1,v2,0
SRR19752930_1,v3,0
SRR19752930_2,arc,219
SRR19752930_2,v1,717
SRR19752930_2,v2,3228
SRR19752930_2,v3,191910
SRR19752930_3,arc,27
SRR19752930_3,v1,484
SRR19752930_3,v2,28
SRR19752930_3,v3,272
SRR6976738_1,arc,0
SRR6976738_1,v1,0
SRR6976738_1,v2,0
SRR6976738_1,v3,0
SRR6976739_1,arc,522
SRR6976739_1,v1,685
SRR6976739_1,v2,194933
SRR6976739_1,v3,20185
SRR6976740_2,arc,34
SRR6976740_2,v1,620
SRR6976740_2,v2,106
SRR6976740_2,v3,347
SRR6976741_1,arc,0
SRR6976741_1,v1,0
SRR6976741_1,v2,0
SRR6976741_1,v3,0
SRR6976742_1,arc,281
SRR6976742_1,v1,562
SRR6976742_1,v2,194556
SRR6976742_1,v3,19893
SRR6976743_2,arc,26
SRR6976743_2,v1,646
SRR6976743_2,v2,129
SRR6976743_2,v3,396
SRR7444152_1,arc,238
SRR7444152_1,v1,616
SRR7444152_1,v2,190050
SRR7444152_1,v3,18629
SRR7444152_2,arc,57
SRR7444152_2,v1,497
SRR7444152_2,v2,41
SRR7444152_2,v3,263
SRR7444152_3,arc,0
SRR7444152_3,v1,0
SRR7444152_3,v2,0
SRR7444152_3,v3,0
SRR7444153_1,arc,139
SRR7444153_1,v1,367
SRR7444153_1,v2,189898
SRR7444153_1,v3,21519
SRR7444153_2,arc,54
SRR7444153_2,v1,494
SRR7444153_2,v2,49
SRR7444153_2,v3,319
SRR7444153_3,arc,0
SRR7444153_3,v1,0
SRR7444153_3,v2,0
SRR7444153_3,v3,0
SRR7721684_1,arc,201
SRR7721684_1,v1,470
SRR7721684_1,v2,190481
SRR7721684_1,v3,20853
SRR7721684_2,arc,54
SRR7721684_2,v1,529
SRR7721684_2,v2,52
SRR7721684_2,v3,276
SRR7721684_3,arc,0
SRR7721684_3,v1,0
SRR7721684_3,v2,0
SRR7721684_3,v3,0
SRR7721685_1,arc,208
SRR7721685_1,v1,450
SRR7721685_1,v2,190461
SRR7721685_1,v3,20777
SRR7721685_2,arc,64
SRR7721685_2,v1,518
SRR7721685_2,v2,59
SRR7721685_2,v3,267
SRR7721685_3,arc,0
SRR7721685_3,v1,0
SRR7721685_3,v2,0
SRR7721685_3,v3,0
SRR7721686_1,arc,225
SRR7721686_1,v1,450
SRR7721686_1,v2,190182
SRR7721686_1,v3,21114
SRR7721686_2,arc,52
SRR7721686_2,v1,515
SRR7721686_2,v2,55
SRR7721686_2,v3,305
SRR7721686_3,arc,0
SRR7721686_3,v1,0
SRR7721686_3,v2,0
SRR7721686_3,v3,0
SRR7721687_1,arc,240
SRR7721687_1,v1,421
